name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Raleigh-Cary, NC Metro Area",347600,91818,730417,561519,4549,1081,8119,8188,146961,1420825,651403,571902,21178,176342
"Rapid City, SD Metro Area",248700,68363,70542,61670,228,343,1625,964,5712,140356,76107,59652,1627,2970
"Raymondville, TX Micro Area",66900,42839,7939,7012,0,0,250,49,628,20308,16018,1397,267,2626
"Reading, PA Metro Area",225700,74617,206685,174429,2499,332,5915,4376,19134,428483,305874,65640,22144,34825
"Red Bluff, CA Micro Area",290400,59029,24769,21933,23,8,356,210,2239,65484,47699,10995,352,6438
"Redding, CA Metro Area",327500,68347,74304,65495,404,579,1660,688,5478,181852,128838,42107,1495,9412
"Red Wing, MN Micro Area",254500,78338,23597,20449,329,53,475,171,2120,47697,36934,9529,169,1065
"Reno, NV Metro Area",458700,81576,245719,206056,4753,1048,4920,5759,23183,490769,163033,249197,8372,70167
"Rexburg, ID Micro Area",291300,56594,31927,24712,295,236,2824,85,3775,66006,28623,34123,356,2904
"Richmond, IN Micro Area",119400,54854,29789,26741,71,1,916,439,1621,66522,47680,16678,313,1851
"Richmond, VA Metro Area",299100,80877,665398,540311,8533,2546,10206,7776,96026,1316145,787533,399768,21349,107495
"Richmond-Berea, KY Micro Area",184700,57096,48500,42884,56,136,1801,348,3275,107093,77179,26588,865,2461
"Rio Grande City-Roma, TX Micro Area",88300,35979,23333,20161,0,0,877,293,2002,65716,44432,3028,945,17311
"Riverside-San Bernardino-Ontario, CA Metro Area",452400,81041,1994724,1737991,18640,3981,26061,25586,182465,4610050,2927913,635785,59537,986815
"Riverton, WY Micro Area",236700,60030,16314,13660,79,255,688,207,1425,39402,21051,17530,196,625
"Roanoke, VA Metro Area",221100,65687,146506,125265,1683,122,2676,1424,15336,314708,206020,89581,3499,15608
"Roanoke Rapids, NC Micro Area",97900,42846,24398,22188,21,0,256,482,1451,66300,50812,13541,413,1534
"Rochelle, IL Micro Area",172900,75782,24422,22132,158,22,316,278,1516,51672,40844,8583,354,1891
"Rochester, MN Metro Area",266900,86788,118223,96142,3418,660,4055,1231,12717,225911,141833,62885,1415,19778
"Rochester, NY Metro Area",175300,71349,519115,433395,7839,2075,13892,5496,56418,1086859,828292,157139,28801,72627
"Rockford, IL Metro Area",152800,63834,152553,137304,866,404,1480,1555,10944,338050,236291,68968,2744,30047
"Rockingham, NC Micro Area",111900,42354,17681,16875,34,0,241,99,432,43149,32210,9032,391,1516
"Rockport, TX Micro Area",221500,58168,8833,7403,51,51,145,244,939,24048,16274,6406,343,1025
"Rock Springs, WY Micro Area",240300,79375,20668,18820,417,147,572,94,618,42079,18706,20327,609,2437
"Rocky Mount, NC Metro Area",141800,53553,62465,55827,443,20,560,942,4673,144082,110602,27053,876,5551
"Rolla, MO Micro Area",174100,53242,18728,16679,0,35,741,124,1149,44843,29007,13419,513,1904
"Rome, GA Metro Area",174000,57868,42651,38415,74,99,1325,566,2172,98541,68933,21927,566,7115
"Roseburg, OR Micro Area",262400,56440,42065,36575,53,69,1143,320,3905,111322,52596,54617,1147,2962
"Roswell, NM Micro Area",133200,49673,25977,24111,127,85,407,328,919,64701,38145,18912,724,6920
"Ruidoso, NM Micro Area",195800,47919,8220,6838,10,0,87,167,1118,20222,8526,10579,265,852
"Russellville, AR Micro Area",144100,52259,35670,32697,76,32,554,570,1741,83817,51843,25437,856,5681
"Ruston, LA Micro Area",184300,37001,20920,18134,0,30,596,88,2072,48323,36749,9629,146,1799
"Rutland, VT Micro Area",203500,62641,28803,25352,132,15,813,169,2322,60585,35755,23108,416,1306
"Sacramento-Roseville-Folsom, CA Metro Area",511500,89227,1101133,864662,17125,12075,18148,16080,173043,2394673,1492679,414891,37138,449965
"Safford, AZ Micro Area",178300,64089,13864,12937,34,0,174,136,583,38453,26579,10774,149,951
"Saginaw, MI Metro Area",131100,56579,79772,71393,300,148,1656,709,5566,189821,161797,22599,916,4509
"St. Cloud, MN Metro Area",238400,72564,104643,88655,1528,448,4814,833,8365,199922,155902,29636,1673,12711
"St. George, UT Metro Area",417400,71976,77459,64517,334,337,1034,820,10417,183297,96715,74632,1525,10425
"St. Joseph, MO-KS Metro Area",152500,61030,54585,49907,155,24,756,529,3214,121952,86782,30637,829,3704
"St. Louis, MO-IL Metro Area",219000,75316,1390743,1166855,21218,2533,21750,13486,164901,2813523,1935208,721123,21953,135239
"St. Marys, GA Micro Area",213400,68104,25574,21721,198,163,1151,145,2196,55105,18286,34462,894,1463
"St. Marys, PA Micro Area",121900,61672,14790,13769,64,41,396,141,379,30886,27948,2582,75,281
"Salem, OH Micro Area",124400,55473,45689,41681,137,308,885,521,2157,101723,78780,21513,470,960
"Salem, OR Metro Area",358700,72154,195544,162312,2376,1505,5038,2310,22003,433415,226486,150516,5017,51396
"Salina, KS Micro Area",161600,60896,29661,26838,115,117,508,456,1627,59928,42768,13570,835,2755
"Salinas, CA Metro Area",683700,91043,189526,150522,2502,993,5421,13648,16440,437609,243790,59836,7421,126562
"Salisbury, MD-DE Metro Area",289000,72964,186340,162446,896,751,3187,2255,16805,421982,199943,187725,4117,30197
"Salt Lake City, UT Metro Area",434300,90277,655978,518709,16174,3576,12306,6271,98942,1254675,741293,344526,13497,155359
"San Angelo, TX Metro Area",177100,66832,58554,51127,222,204,2300,660,4041,122229,87260,26162,1497,7310
"San Antonio-New Braunfels, TX Metro Area",234900,70910,1216437,1025805,16575,2459,20434,17514,133650,2570862,1619347,587788,64149,299578
"San Diego-Chula Vista-Carlsbad, CA Metro Area",725200,96974,1622954,1264039,36235,7520,46996,26497,241667,3289701,1678209,802973,65564,742955
"Sandpoint, ID Micro Area",378200,61816,19490,15987,191,421,643,245,2003,47976,13328,33340,409,899
"Sandusky, OH Micro Area",169400,65171,35164,32608,224,30,426,464,1412,75299,60410,13302,466,1121
"Sanford, NC Micro Area",186000,60941,28339,26249,43,0,309,415,1323,63560,39861,16281,1442,5976
"San Francisco-Oakland-Berkeley, CA Metro Area",1073300,129315,2391418,1438631,282730,36675,97625,49309,486448,4692242,2307890,848375,85157,1450820
"San GermÃƒÂ¡n, PR Metro Area",104900,19871,35331,32423,221,0,930,155,1602,124504,0,6663,116852,989
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1282400,151713,1006137,735648,28747,13808,21192,14141,192601,1981584,901167,262758,31418,786241
"San Juan-BayamÃƒÂ³n-Caguas, PR Metro Area",134400,26853,714144,634660,10205,937,18317,13589,36436,2073546,0,100823,1893583,79140
"San Luis Obispo-Paso Robles, CA Metro Area",726700,90158,129192,102497,913,1778,5869,1277,16858,281712,193117,57665,4209,26721
"Santa Cruz-Watsonville, CA Metro Area",951300,104409,129470,94587,2332,2538,5928,3010,21075,268571,165214,52385,4249,46723
"Santa Fe, NM Metro Area",374200,70522,70746,56761,512,413,1538,906,10616,154481,71784,61796,2224,18677
"Santa Isabel, PR Micro Area",104100,22680,6680,6329,0,58,35,0,258,20207,0,1243,18886,78
"Santa Maria-Santa Barbara, CA Metro Area",714800,92332,204766,161384,4663,5238,7811,2647,23023,445213,257942,81676,6774,98821
"Santa Rosa-Petaluma, CA Metro Area",748500,99266,242102,197210,3185,1665,5321,3283,31438,488436,306473,96799,5590,79574
"Sault Ste. Marie, MI Micro Area",142000,58408,15504,13492,54,226,463,257,1012,36670,29380,5665,449,1176
"Savannah, GA Metro Area",250000,70705,195488,170901,2347,1209,3556,2582,14893,406575,217372,153991,9267,25945
"Sayre, PA Micro Area",169700,60650,25435,22462,28,0,1027,233,1685,60159,43610,15077,294,1178
"Scottsbluff, NE Micro Area",151100,59842,17818,16148,9,42,382,162,1075,37880,24839,10998,199,1844
"Scottsboro, AL Micro Area",126900,46748,20023,18772,20,17,201,238,775,52618,34145,17098,512,863
"Scottsburg, IN Micro Area",137200,49343,10567,9579,0,109,124,41,714,24403,16435,7601,71,296
"Scranton--Wilkes-Barre, PA Metro Area",163500,62318,263405,228837,2200,395,7183,3251,21539,567287,416909,100244,10324,39810
"Searcy, AR Micro Area",150700,51144,31811,29617,115,81,573,263,1162,77118,49582,25175,612,1749
"Seattle-Tacoma-Bellevue, WA Metro Area",628500,107206,2078385,1431243,141626,17549,73210,25420,389337,4001701,1759069,1362110,83976,796546
"Sebastian-Vero Beach, FL Metro Area",284400,67543,62037,52791,370,590,436,1074,6776,160986,50455,91035,3022,16474
"Sebring-Avon Park, FL Metro Area",155900,53679,34686,30862,48,56,744,688,2288,102339,38482,48159,4482,11216
"Sedalia, MO Micro Area",150000,57581,19837,17960,39,44,229,323,1242,43059,29807,9834,381,3037
"Selinsgrove, PA Micro Area",197300,65914,19142,16198,57,281,1124,137,1345,39797,33868,5114,369,446
"Selma, AL Micro Area",91600,37180,14138,13258,75,0,120,109,576,38326,33156,4616,89,465
"Seneca, SC Micro Area",192800,56710,31671,28621,166,0,371,391,2122,78775,44237,31265,411,2862
"Seneca Falls, NY Micro Area",132000,64050,14480,12627,55,56,428,256,1058,33651,27000,5444,412,795
"Sevierville, TN Micro Area",239800,60103,45941,41459,275,81,715,170,3241,98455,51038,40919,745,5753
"Seymour, IN Micro Area",161300,65609,22017,20489,14,23,451,288,752,46212,35178,7998,405,2631
"Shawano, WI Micro Area",164700,65222,20966,17895,37,56,657,408,1913,45127,39147,5211,325,444
"Shawnee, OK Micro Area",147000,58270,29303,26801,12,30,477,298,1685,72734,50955,19874,540,1365
"Sheboygan, WI Metro Area",198900,68969,60282,53369,214,404,1080,496,4719,117741,90762,19415,472,7092
"Shelby, NC Micro Area",155000,50723,42455,38757,2,0,929,334,2433,99527,74408,21938,680,2501
"Shelbyville, TN Micro Area",221200,59955,22971,21056,17,0,118,335,1445,50533,31974,14890,458,3211
"Shelton, WA Micro Area",340300,74388,25535,22067,236,7,386,309,2530,66053,35806,24842,1175,4230
"Sheridan, WY Micro Area",342400,68898,15372,13420,0,70,446,82,1354,31176,14463,15637,411,665
"Sherman-Denison, TX Metro Area",206900,66608,63791,56322,187,104,1015,447,5716,137008,88150,38510,1191,9157
"Show Low, AZ Micro Area",165600,50335,33309,28598,304,138,1112,485,2672,107110,72703,31510,427,2470
"Shreveport-Bossier City, LA Metro Area",176700,53053,163098,148368,1689,143,1766,2921,8211,391957,280653,97276,3376,10652
"Sidney, OH Micro Area",174200,73502,23620,22076,42,136,145,96,1125,48145,40750,6413,328,654
"Sierra Vista-Douglas, AZ Metro Area",183000,58421,46755,39982,67,169,1251,1163,4123,125504,46194,62648,3127,13535
"Sikeston, MO Micro Area",132800,54621,17157,16167,2,0,133,151,704,38055,29020,8610,155,270
"Silver City, NM Micro Area",153900,44895,9731,8249,30,0,184,5,1263,28006,15084,11726,70,1126
"Sioux City, IA-NE-SD Metro Area",163700,69065,73597,67438,491,69,1353,375,3871,149113,80351,51377,1445,15940
"Sioux Falls, SD Metro Area",255400,78552,152979,134462,673,258,3048,909,13629,277944,169496,88805,1362,18281
"Snyder, TX Micro Area",109400,58932,6876,6446,0,0,155,67,208,16883,13411,2388,44,1040
"Somerset, KY Micro Area",140400,48768,26510,25050,59,5,302,128,966,65145,47982,15545,215,1403
"Somerset, PA Micro Area",124500,57357,31886,28567,38,9,651,302,2319,73802,62758,9902,373,769
"Sonora, CA Micro Area",377700,70432,19951,16784,62,11,742,150,2202,54993,40424,11345,490,2734
"South Bend-Mishawaka, IN-MI Metro Area",168300,62448,151993,130842,1491,756,5238,1746,11920,323992,196295,105743,2887,19067
"Spartanburg, SC Metro Area",195800,61955,151753,137905,177,97,1459,1546,10569,330119,199388,103241,3473,24017
"Spearfish, SD Micro Area",267900,62977,14124,12519,168,22,449,87,879,26047,14522,10694,166,665
"Spencer, IA Micro Area",151400,61756,8259,7222,74,8,300,18,637,16423,12064,4090,104,165
"Spirit Lake, IA Micro Area",236100,72446,9231,8008,0,50,150,149,874,17692,12286,4965,50,391
"Spokane-Spokane Valley, WA Metro Area",326800,69752,264392,215405,5544,1122,7359,2890,32072,585485,319064,229872,7483,29066
"Springfield, IL Metro Area",163400,72445,97824,84487,1000,452,1263,1049,9573,208406,168602,32439,1332,6033
"Springfield, MA Metro Area",278900,70547,320342,265099,6012,1096,11082,3339,33714,689486,436792,140743,51744,60207
"Springfield, MO Metro Area",191500,58291,221667,196141,1279,594,3782,2265,17606,477056,301923,156970,4334,13829
"Springfield, OH Metro Area",144900,58954,59345,53271,309,43,1263,281,4178,135877,107290,24785,862,2940
"Starkville, MS Micro Area",182000,45358,25804,23091,48,72,689,282,1622,61330,44283,14723,208,2116
"State College, PA Metro Area",289800,70087,73011,54321,2953,1036,5293,580,8828,158665,104894,38732,1820,13219
"Statesboro, GA Micro Area",172500,53675,34969,31096,167,136,609,609,2352,79829,55884,20035,1146,2764
"Staunton, VA Metro Area",250600,67711,60047,54781,212,74,832,321,3827,125355,84407,35150,1501,4297
"Steamboat Springs, CO Micro Area",691800,95144,13686,10314,113,408,558,78,2215,24944,8305,14855,452,1332
"Stephenville, TX Micro Area",219600,59654,20446,17726,5,269,782,254,1410,42788,29660,9279,443,3406
"Sterling, CO Micro Area",203100,54864,10183,8922,210,38,220,15,778,21302,12533,7672,309,788
"Sterling, IL Micro Area",122200,62828,26038,23785,102,142,832,112,1065,55569,41120,12473,408,1568
"Stevens Point, WI Micro Area",214700,71301,36822,30608,129,359,1352,239,4135,70281,54894,12397,386,2604
"Stillwater, OK Micro Area",196100,46658,36655,30825,174,303,2087,456,2810,82058,48552,26982,772,5752
"Stockton, CA Metro Area",462000,82837,325292,287045,4201,1124,3758,3094,26070,779445,503331,78154,11313,186647
"Storm Lake, IA Micro Area",138100,62662,10171,8808,33,36,642,41,611,20687,12202,3882,256,4347
"Sturgis, MI Micro Area",152800,62281,27239,24410,23,325,626,313,1542,60887,40997,17402,351,2137
"Sulphur Springs, TX Micro Area",172800,63766,16779,15391,126,0,246,114,902,37008,27373,6260,179,3196
"Summerville, GA Micro Area",86400,43556,8879,8505,11,0,63,49,251,24902,18436,5392,278,796
"Sumter, SC Metro Area",144500,52942,55861,51727,91,127,841,647,2428,136362,90171,41029,1656,3506
"Sunbury, PA Micro Area",141300,55952,40657,35967,156,28,1111,390,3005,91340,79071,10264,883,1122
"Susanville, CA Micro Area",233100,59515,8909,8049,32,21,253,43,511,31873,23426,6405,300,1742
"Sweetwater, TX Micro Area",91300,47437,6187,5811,0,8,56,118,194,14657,11627,2141,69,820
"Syracuse, NY Metro Area",164400,70096,306385,255445,5771,982,11497,4504,28186,658694,514857,94400,7702,41735
"Tahlequah, OK Micro Area",144600,52410,20118,17841,24,84,679,286,1204,47412,32681,13064,268,1399
"Talladega-Sylacauga, AL Micro Area",131900,52457,31194,29192,97,123,353,545,884,81105,65894,13135,561,1515
"Tallahassee, FL Metro Area",230200,59757,184377,156570,2592,714,3725,1666,19110,386064,231073,124487,7079,23425
"Tampa-St. Petersburg-Clearwater, FL Metro Area",273000,67197,1498886,1205120,13587,8177,18854,25018,228130,3194310,1156917,1442250,126936,468207
"Taos, NM Micro Area",313400,55145,13876,11044,191,109,369,82,2081,34475,19557,12607,516,1795
"Taylorville, IL Micro Area",108800,56933,14557,13456,0,43,221,29,808,33893,29242,4063,243,345
"Terre Haute, IN Metro Area",123700,56449,81167,73427,471,252,2430,765,3822,185357,138653,42238,828,3638
"Texarkana, TX-AR Metro Area",141900,53628,58824,55146,215,78,579,596,2210,147453,76623,65270,903,4657
"The Dalles, OR Micro Area",298200,61316,11567,10080,12,64,375,209,827,26639,14241,9850,216,2332
"The Villages, FL Metro Area",324400,70105,27879,22313,5,314,350,1494,3403,131832,27883,93060,2639,8250
"Thomaston, GA Micro Area",136500,48740,11247,10608,6,0,243,115,275,27638,22251,4545,220,622
"Thomasville, GA Micro Area",178900,55958,20528,19059,38,40,155,50,1186,45665,31562,12825,181,1097
"Tiffin, OH Micro Area",128100,62476,26313,23436,49,50,1133,382,1263,55062,48354,5783,106,819
"Tifton, GA Micro Area",140700,52561,17682,16380,13,68,249,229,743,41247,32216,6686,194,2151
"Toccoa, GA Micro Area",154200,52901,11191,10104,0,30,305,55,697,26732,18248,7166,286,1032
"Toledo, OH Metro Area",159500,61620,301088,270661,2540,743,5648,2465,19031,644547,498381,120240,4369,21557
"Topeka, KS Metro Area",161700,65665,109853,96623,779,74,1612,1076,9689,232995,166790,55520,2352,8333
"Torrington, CT Micro Area",303700,89394,94647,79471,881,150,2641,1132,10372,185765,115118,49321,3533,17793
"Traverse City, MI Micro Area",263500,73845,72548,61276,556,695,1218,675,8128,153733,119917,29831,1074,2911
"Trenton-Princeton, NJ Metro Area",327600,92697,181170,133519,9405,1221,6480,2304,28241,383732,193356,83931,12092,94353
"Troy, AL Micro Area",144500,42616,13338,12279,60,47,266,201,485,32997,25799,5786,99,1313
"Truckee-Grass Valley, CA Micro Area",559700,79395,44318,32814,41,265,960,573,9665,102322,66817,27909,1078,6518
"Tucson, AZ Metro Area",258300,64323,461211,376915,7205,5140,9054,7128,55769,1042393,445867,450093,18999,127434
"Tullahoma-Manchester, TN Micro Area",200300,58259,46769,42174,10,118,773,205,3489,107618,67702,35378,1210,3328
"Tulsa, OK Metro Area",188400,65784,473145,419538,1605,837,6199,5769,39197,1017724,617153,321756,9609,69206
"Tupelo, MS Micro Area",146300,59860,72543,69170,56,57,127,518,2615,163378,125154,33536,1100,3588
"Tuscaloosa, AL Metro Area",201800,58132,121916,112426,929,204,1196,670,6491,272931,198258,63808,1718,9147
"Twin Falls, ID Metro Area",255000,62912,52851,47773,140,51,823,423,3641,115066,60667,41768,920,11711
"Tyler, TX Metro Area",201400,69053,107599,96300,495,224,1251,1818,7511,234667,161692,49269,3201,20505
"Ukiah, CA Micro Area",463700,61335,36841,30193,103,79,2454,249,3763,91145,61632,17930,1331,10252
"Union, SC Micro Area",95300,42305,10591,10070,19,8,137,133,224,27158,22094,4575,162,327
"Union City, TN Micro Area",119500,50638,13120,12148,0,25,202,251,494,30670,21095,8749,119,707
"Urbana, OH Micro Area",166900,70486,18144,16348,1,22,392,124,1257,38715,32919,5167,242,387
"Urban Honolulu, HI Metro Area",832200,99816,503138,394949,28116,4754,24708,13059,37552,1010100,536029,241319,36907,195845
"Utica-Rome, NY Metro Area",151600,66823,127856,110325,1561,184,4268,1011,10507,291348,233898,32199,3596,21655
"Uvalde, TX Micro Area",129900,55000,9661,9077,0,0,144,120,320,24833,18878,3110,151,2694
"Valdosta, GA Metro Area",167400,51216,64591,59173,137,221,1492,933,2635,148203,87991,52927,2134,5151
"Vallejo, CA Metro Area",549100,97037,209755,179443,4554,651,2499,2564,20044,450995,268037,83333,11012,88613
"Van Wert, OH Micro Area",129300,64841,13971,13002,13,32,274,151,499,28833,22101,6340,168,224
"Vermillion, SD Micro Area",209300,55963,7330,5764,21,121,831,34,559,14953,7892,6434,46,581
"Vernal, UT Micro Area",253100,67983,14316,12765,63,130,359,166,833,35951,24780,10287,80,804
"Vernon, TX Micro Area",82300,50769,5436,5044,6,46,90,69,181,12795,9255,2721,81,738
"Vicksburg, MS Micro Area",142100,54117,19159,18218,126,20,71,225,499,44341,35414,7638,233,1056
"Victoria, TX Metro Area",180500,66105,44029,39828,351,129,736,322,2663,98301,79560,11814,755,6172
"Vidalia, GA Micro Area",119000,47430,13335,12164,51,40,356,76,648,35633,26961,6258,411,2003
"Vincennes, IN Micro Area",122100,58173,17699,16530,63,58,554,117,377,36148,28566,6682,180,720
"Vineland-Bridgeton, NJ Metro Area",192900,62310,61388,55946,869,317,739,589,2928,153588,105297,22273,9320,16698
"Vineyard Haven, MA Micro Area",998100,93225,10084,7571,115,55,518,38,1787,20543,10748,6506,278,3011
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",295900,77082,901096,770188,11088,2724,22001,13220,81875,1798025,877082,757665,42659,120619
"Visalia, CA Metro Area",280900,64474,184620,169935,935,225,2464,1499,9562,473446,324089,40456,4443,104458
"Wabash, IN Micro Area",135800,66194,14096,12832,53,23,378,154,656,31032,24937,5676,116,303
"Waco, TX Metro Area",190100,59193,124151,111145,473,284,2628,1012,8609,278103,194078,57504,3273,23248
"Wahpeton, ND-MN Micro Area",166100,67099,11480,9835,45,21,578,194,807,23002,12090,10616,111,185
"Walla Walla, WA Metro Area",331600,66635,26947,21553,168,363,1766,300,2797,62150,30975,23264,1694,6217
"Wapakoneta, OH Micro Area",168200,75231,23580,21528,61,127,502,219,1143,46263,40710,5120,151,282
"Warner Robins, GA Metro Area",186300,73788,89685,80936,234,31,560,1196,6728,192171,107530,68853,4172,11616
"Warren, PA Micro Area",116300,57925,16977,15303,104,23,618,202,727,38492,30082,7750,123,537
"Warrensburg, MO Micro Area",206600,62503,26671,23958,64,63,958,244,1384,54025,31719,19887,787,1632
"Warsaw, IN Micro Area",183300,70945,39179,34880,91,184,955,327,2742,80442,57228,18493,720,4001
"Washington, IN Micro Area",174000,64113,14983,13382,22,163,532,174,710,33337,27911,4071,127,1228
"Washington, NC Micro Area",159900,56081,19091,17346,23,9,153,205,1355,44711,32208,10692,206,1605
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",513300,119803,3364807,2248255,296096,22448,91120,58549,648339,6346083,2045520,2685011,145669,1469883
"Washington Court House, OH Micro Area",151400,56773,12678,11960,56,0,73,27,562,28901,24553,3547,181,620
"Waterloo-Cedar Falls, IA Metro Area",176100,66732,83963,72886,156,299,3194,511,6917,168404,127295,30603,1317,9189
"Watertown, SD Micro Area",202900,67993,18130,16577,69,76,288,112,1008,34598,24397,9246,203,752
"Watertown-Fort Atkinson, WI Micro Area",238300,77018,46221,40231,136,125,1586,512,3631,85932,64860,17870,486,2716
"Watertown-Fort Drum, NY Metro Area",169600,62782,54156,46987,280,68,2318,1069,3434,117445,75175,33970,2767,5533
"Wauchula, FL Micro Area",118700,44665,8845,8283,78,0,110,49,325,25528,15761,6112,787,2868
"Wausau-Weston, WI Metro Area",189500,71675,83884,72647,299,165,1584,931,8258,166222,130400,28907,673,6242
"Waycross, GA Micro Area",105000,49055,21379,20385,47,0,80,174,693,55739,43074,11284,230,1151
"Weatherford, OK Micro Area",168700,58669,14054,13173,0,0,404,61,416,28391,19122,7553,168,1548
"Weirton-Steubenville, WV-OH Metro Area",114100,54142,49235,43513,154,12,1638,462,3456,116536,68635,46142,456,1303
"Wenatchee, WA Metro Area",395300,75185,57150,48342,461,249,1813,1723,4562,122265,70410,32766,1366,17723
"West Plains, MO Micro Area",141600,46401,15459,14472,50,3,193,250,491,39960,22824,16400,251,485
"West Point, MS Micro Area",110600,37412,6979,6293,0,41,14,29,602,18598,16005,2509,0,84
"Wheeling, WV-OH Metro Area",136600,56691,59292,54304,323,87,1442,296,2840,139287,86595,50440,460,1792
"Whitewater, WI Micro Area",254300,75172,54345,46782,142,189,1959,419,4854,105127,60295,37801,698,6333
"Wichita, KS Metro Area",173400,66643,307960,276915,1392,1045,4504,4109,19995,646794,420870,170671,7032,48221
"Wichita Falls, TX Metro Area",131500,60641,71022,60881,187,168,4756,866,4164,148523,93928,43552,2320,8723
"Williamsport, PA Metro Area",182500,63437,51688,45799,510,197,1698,251,3233,114022,95020,15946,736,2320
"Williston, ND Micro Area",255000,86139,19950,18641,38,1,499,183,588,39076,17373,18153,287,3263
"Willmar, MN Micro Area",214600,73285,21810,19312,252,91,361,152,1642,43686,32631,6830,312,3913
"Wilmington, NC Metro Area",301900,68845,142888,119236,414,499,1878,918,19943,289726,145584,126111,3656,14375
"Wilmington, OH Micro Area",172800,64210,19725,17833,57,26,394,207,1208,42077,33973,7104,122,878
"Wilson, NC Micro Area",153800,49827,34109,31338,61,36,479,410,1785,78667,58348,15535,346,4438
"Winchester, VA-WV Metro Area",301100,79416,67325,58738,295,97,1280,616,6299,143385,69594,60852,2456,10483
"Winfield, KS Micro Area",104000,55726,15037,13710,28,66,332,272,629,34661,24256,8798,209,1398
"Winnemucca, NV Micro Area",242200,75574,8176,6232,751,4,270,202,717,17266,6950,8544,54,1718
"Winona, MN Micro Area",203500,66162,27040,22232,395,248,1696,248,2221,49792,32428,15551,282,1531
"Winston-Salem, NC Metro Area",193800,60145,306637,270755,1757,267,3679,2949,27230,678243,426616,197070,6477,48080
"Wisconsin Rapids-Marshfield, WI Micro Area",156600,63273,35109,31113,52,231,669,350,2694,74138,60734,11748,250,1406
"Woodward, OK Micro Area",154100,60873,10807,10150,0,3,166,171,317,24166,15868,6969,84,1245
"Wooster, OH Micro Area",189800,70320,53961,46183,81,911,2409,1031,3346,116680,96260,17078,626,2716
"Worcester, MA-CT Metro Area",347400,86708,488235,399998,6939,731,11992,8802,59773,975551,628699,190127,35391,121334
"Worthington, MN Micro Area",161000,62973,10420,9140,107,7,495,107,564,22194,11933,5472,327,4462
"Yakima, WA Metro Area",254700,64910,105896,97114,237,267,1453,1104,5721,256143,155314,50435,2375,48019
"Yankton, SD Micro Area",190400,68847,11674,10558,27,27,322,97,643,23311,14541,8003,157,610
"Yauco, PR Metro Area",91600,19166,22668,21109,27,8,395,464,665,85638,0,3111,82252,275
"York-Hanover, PA Metro Area",220700,79183,225878,197775,1630,427,3203,2184,20659,457051,296967,129941,10280,19863
"Youngstown-Warren-Boardman, OH-PA Metro Area",130400,54650,232676,207677,1899,297,3982,3638,15183,540328,420331,104721,5418,9858
"Yuba City, CA Metro Area",365300,70176,75189,67649,456,198,1100,752,5034,180806,118632,27027,3371,31776
"Yuma, AZ Metro Area",173500,56439,77216,69825,624,317,1130,787,4533,204374,78716,72024,3098,50536
"Zanesville, OH Micro Area",156100,56810,38989,36211,75,10,860,167,1666,86393,75765,9554,318,756
"Zapata, TX Micro Area",84800,35061,4669,4129,0,0,203,25,312,13896,9901,679,286,3030
